model,accuracy,precision,recall,f1_score,roc_auc,false_positives,false_negatives,true_negatives,true_positives,inference_time_sec,inference_time_ms_per_sample
logistic_regression,0.8275862068965517,1.0,0.16666666666666666,0.2857142857142857,0.7681159420289856,0,5,23,1,0.01544729998568073,0.5326655167476114
decision_tree,0.8275862068965517,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7608695652173912,3,2,20,4,0.00166529999114573,0.057424137625714834
random_forest,0.7586206896551724,0.42857142857142855,0.5,0.46153846153846156,0.7572463768115942,4,3,19,3,0.00666880002245307,0.22995862146389895
svm,0.8275862068965517,1.0,0.16666666666666666,0.2857142857142857,0.7681159420289855,0,5,23,1,0.002363300009164959,0.08149310376430895
knn,0.8275862068965517,0.6,0.5,0.5454545454545454,0.6557971014492754,2,3,21,3,0.005545000021811575,0.1912068973038474
gradient_boosting,0.8275862068965517,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.9057971014492754,4,1,19,5,0.002057400008197874,0.07094482786889221
