model,accuracy,precision,recall,f1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,total_inference_time_seconds,inference_time_per_sample_seconds
QSVC,0.7586206896551724,0.0,0.0,0.0,0.7391304347826086,22,1,6,0,16.907763800001703,0.5830263379310933
VQC,0.6896551724137931,0.0,0.0,0.0,0.3442028985507246,20,3,6,0,0.134255299999495,0.0046294931034308
