model,phase,model_family,accuracy,precision,recall,f1_score,specificity,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,inference_time_seconds,inference_time_ms_per_sample,score_source
logistic_regression,14,classical,0.8275862068965517,1.0,0.16666666666666666,0.2857142857142857,1.0,0.7681159420289856,0.660923141186299,23,0,5,1,0.006299300002865493,0.21721724147812044,predict_proba
decision_tree,14,classical,0.8275862068965517,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.8695652173913043,0.7608695652173912,0.44991789819376027,20,3,2,4,0.0003687000134959817,0.012713793568826955,predict_proba
random_forest,14,classical,0.7586206896551724,0.42857142857142855,0.5,0.46153846153846156,0.8260869565217391,0.7572463768115942,0.6733716475095785,19,4,3,3,0.005290500004775822,0.18243103464744212,predict_proba
svm,14,classical,0.8275862068965517,1.0,0.16666666666666666,0.2857142857142857,1.0,0.7681159420289855,0.5786647992530345,23,0,5,1,0.0011332000140100718,0.03907586255207144,predict_proba
knn,14,classical,0.8275862068965517,0.6,0.5,0.5454545454545454,0.9130434782608695,0.6557971014492754,0.4748478701825558,21,2,3,3,0.001175400015199557,0.04053103500688127,predict_proba
gradient_boosting,14,classical,0.8275862068965517,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.8260869565217391,0.9057971014492754,0.8148809523809524,19,4,1,5,0.0005539999983739108,0.019103448219790025,predict_proba
qsvc,15,quantum,0.7586206896551724,0.0,0.0,0.0,0.9565217391304348,0.7391304347826086,0.4177109440267335,22,1,6,0,14.547109000006458,501.62444827608476,decision_function
vqc,15,quantum,0.6896551724137931,0.0,0.0,0.0,0.8695652173913043,0.3442028985507246,0.193993942182348,20,3,6,0,0.1121833999932278,3.868393103214751,predict_proba
