0,1,2,3,4,5,6,7
0.6784258542404868,-0.008748457016707468,0.0,0.0,1.0,0.0,1.0,0.0
0.15215995932448118,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
0.4343843003405054,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.7278573433330907,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110710263987798,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.7890240993287724,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
0.7395857982124607,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.1772796784445627,0.025319608402851825,0.0,0.0,1.0,0.0,1.0,0.0
1.412206870023326,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.8499056844251601,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.5996380677596359,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.7278635510105244,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.5992916243686839,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.05535627759814796,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.7891407608204856,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
0.6783555810396827,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110806617950289,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.05535121279530828,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.17732107311923745,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.1773767920161942,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.1773171172180679,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.17737590115025426,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
1.412201934532832,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.8499001769837398,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
1.4122066383274965,0.1647857512141727,1.0,0.0,0.0,1.0,0.0,0.0
-0.9110632253814358,-0.008748457016707468,0.0,0.0,1.0,0.0,1.0,0.0
-0.17737041606394713,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.8498935886701457,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.6343227286675027,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.17731327528150492,0.29999338584804863,0.0,0.0,1.0,0.0,1.0,0.0
-0.7891534589528609,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.7890290556946375,-0.008748457016707468,0.0,0.0,1.0,0.0,1.0,0.0
1.4734432341062742,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.7891465038955618,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
2.2135905664341906,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.1773130625777382,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110799106974641,0.1647857512141727,1.0,0.0,0.0,1.0,0.0,0.0
-0.9109561574985419,-0.10456489100921798,0.0,1.0,0.0,0.0,1.0,0.0
1.4122678924997019,-0.008748457016707468,0.0,0.0,1.0,0.0,1.0,0.0
-0.17735372961059626,-0.008748457016707468,0.0,0.0,1.0,0.0,1.0,0.0
0.678432085080166,-0.10456489100921798,0.0,1.0,0.0,0.0,1.0,0.0
-0.17732005605941675,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
1.412198263977318,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.2993955146743557,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
1.473447901616682,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
2.1460338352862562,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110797592501321,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110795846405546,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110884702844594,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110841740181295,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
2.146044895845437,0.1647857512141727,1.0,0.0,0.0,1.0,0.0,0.0
0.15216062242018855,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.7891328103980985,0.1647857512141727,1.0,0.0,0.0,1.0,0.0,0.0
-0.9110478813599757,-0.040687268347544304,0.0,1.0,0.0,0.0,1.0,0.0
-0.9110602121738703,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110882121244803,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.7891326082359661,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.1773132725788353,10.62687571615196,0.0,1.0,0.0,0.0,0.0,1.0
-0.05534781490369259,0.1647857512141727,1.0,0.0,0.0,1.0,0.0,0.0
0.8500279920032769,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.1772767343201673,-0.040687268347544304,0.0,1.0,0.0,0.0,1.0,0.0
-0.9110831032717948,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110450676118731,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
2.2135912590758244,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110844633994455,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110888749756022,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
2.146037871448153,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110716878924521,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
1.590464302815019,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.17735152738735135,-0.10456489100921798,0.0,1.0,0.0,0.0,1.0,0.0
-0.7891477439317396,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110888749756022,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
0.8500173646905946,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
1.4121896457876406,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
0.43438517589539405,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
1.412270708938245,-0.10456489100921798,0.0,1.0,0.0,0.0,1.0,0.0
2.1460926699821603,-0.008748457016707468,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110883226404315,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
0.6784344580974545,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
2.1460986252840617,-0.10456489100921798,0.0,1.0,0.0,0.0,1.0,0.0
2.1461023184881918,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110643230444029,-0.008748457016707468,0.0,0.0,1.0,0.0,1.0,0.0
0.005886217325703748,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.911085359426139,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.05535720594681334,-0.12905131302952622,0.0,0.0,1.0,0.0,1.0,0.0
-0.3311535832700569,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
0.8434233863866352,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.910954234127208,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
0.6783663578307836,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.9109584261267458,-0.008748457016707468,0.0,0.0,1.0,0.0,1.0,0.0
-0.5992921285449726,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
0.6783612392191374,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.911082624459021,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
2.1460451591539402,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110765402483398,0.1647857512141727,1.0,0.0,0.0,1.0,0.0,0.0
0.8434238892177037,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.911088372254597,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
0.6783661024957672,0.1647857512141727,1.0,0.0,0.0,1.0,0.0,0.0
-0.8498910300613912,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
1.412272458702802,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.1773122917788127,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.1161746514348877,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.11611538005605976,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.8498868138234318,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
0.005881449107222752,-0.14182683756186096,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110831004590617,0.1647857512141727,1.0,0.0,0.0,1.0,0.0,0.0
2.20727350374356,-0.1354390752956936,0.0,0.0,1.0,0.0,1.0,0.0
-0.9110619039472089,-0.10456489100921798,0.0,1.0,0.0,0.0,1.0,0.0
