model,model_family,phase,accuracy,precision,recall,f1,roc_auc,false_positives,false_negatives
logistic_regression,classical,14,0.8275862068965517,1.0,0.1666666666666666,0.2857142857142857,0.7681159420289856,0,5
decision_tree,classical,14,0.8275862068965517,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7608695652173912,3,2
random_forest,classical,14,0.7586206896551724,0.4285714285714285,0.5,0.4615384615384615,0.7572463768115942,4,3
svm,classical,14,0.8275862068965517,1.0,0.1666666666666666,0.2857142857142857,0.7681159420289855,0,5
knn,classical,14,0.8275862068965517,0.6,0.5,0.5454545454545454,0.6557971014492754,2,3
gradient_boosting,classical,14,0.8275862068965517,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.9057971014492754,4,1
QSVC,quantum,15,0.7586206896551724,0.0,0.0,0.0,0.7391304347826086,1,6
VQC,quantum,15,0.6896551724137931,0.0,0.0,0.0,0.3442028985507246,3,6
