evaluation,loss
1,1.2281849164495169
2,1.0444719616588238
3,1.0608128536374843
4,1.0621356149974615
5,1.0447372133408546
6,1.052702341592139
7,1.038011202583436
8,1.052111110943003
9,1.059995297385012
10,1.099237530844409
11,1.0464552967357854
12,1.0497595712391237
13,1.0445534792082982
14,1.0538714407183971
15,1.0550935303685522
16,1.0431348696570504
17,1.0838983940723164
18,1.0095093128266008
19,1.0904815191670312
20,0.9821209696067236
21,1.0088435846027637
22,0.9801694840501836
23,0.9825327922067645
24,0.9817350960854618
25,0.983094222687424
26,0.98047256438721
27,0.9815330454249664
28,0.9791929376940048
29,0.9856976189061148
30,0.98371959952482
31,0.9809117046790544
32,0.9807429683340122
33,0.9804761829020979
34,0.9806874843836348
35,0.9756247416461987
36,0.9814134425066341
37,0.972430862450343
38,0.9901599297270571
39,0.9793688855683453
40,0.96797392136123
41,0.971427830857671
42,0.9701770023374081
43,0.9668674040756475
44,0.9769854590800823
45,0.9729450089397476
46,0.968751217006186
47,0.9743504299857763
48,0.9785074388229862
49,0.9740821256510381
50,0.9811017927693435
51,0.9764283815467
52,0.9775232785388565
53,0.9723656630242656
54,0.9731283656775278
55,0.9681934699325603
56,0.9769839538531556
57,0.9695304001085641
58,0.9861420156642735
59,0.9745939198414975
60,0.9679505892665503
61,0.9736744728404586
62,0.9816568070391993
63,0.9715462795980214
64,0.9699913572193823
65,0.9719049860740615
66,0.967002796773965
67,0.971617284057897
68,0.9686499650185334
69,0.9741119756498201
70,0.9671829064392896
71,0.9712894969268842
72,0.9677782620339977
73,0.9696499176985517
74,0.9680044118822766
75,0.970890812443448
76,0.9676538219116577
77,0.9669948585618076
78,0.9665924865268413
79,0.9702217311877743
80,0.9681951713163571
81,0.9705773488007498
82,0.9682784546491435
83,0.9732929857975843
84,0.9691179710824293
85,0.9675308948786924
86,0.9664449840406151
87,0.9684921161367278
88,0.9665848509785198
89,0.9658408286387021
90,0.9668937078679369
91,0.9668577903275697
92,0.9676519090148453
93,0.9659952444734833
94,0.9659189282334997
95,0.966669378840861
96,0.9661805074564477
97,0.9665105616012811
98,0.9674884221322249
99,0.9662672004379115
100,0.9668053656483402
